time,description,camp
2026-06-04 10:00,"Nevermore shepperds Bazaar lounge.. Nevermore shepperds Bazaar lounge.: Nevermore Shepherds Lounge is a wandering ritual space of tea, coffee, puppets, and story. A living lounge where strangers become presences—invited to slow down, connect, and co-create through play, symbols, and shared moments.","Living Room, The"
2026-06-04 10:00,Dr. Detangler. Packed in a hurry? String lights became sentient? Jewelry fused into nautical knots? Visit the Sloplandia Detanglery and receive emergency field surgery from a highly unlicensed professional.,Sloplandia
2026-06-04 10:00,"Cinder-Fellas and the Playa Princesses. We saw some Disney Princes and Princesses experiencing their first Otherworld! If you find them, stop to say hello, sing a song, dance, get your face painted, become a royal, play a game, or take a portrait! Help them learn about OW! ALL AGES!",Cinder-Fellas and the Playa Princesses
2026-06-04 10:00,"Nerdy and Naughty Stamps. Come and get some temporary ink! We have designs for all ages, so come get a Nerdy picture or Naughty saying.",Welcome to Arcadia
2026-06-04 11:00,"Shaman Dome Tent. Healing space offering intuitive touch, massage, tarot, and guidance. A calm place to ground, connect, and be supported. Drop in as you feel called.",Shaman Dome
2026-06-04 11:00,"Cat Lenny in Space. Meet Cat Lenny: cosmic traveller, dimensional beast, certified good boy. Climb aboard and transcend this earthly plane. Capture photographic evidence as you ride eternally through space and time.",Sloplandia
2026-06-04 11:00,Cornhole. I am the great Cornholio. I need beanbags for my bunghole.,Sloplandia
2026-06-04 11:00,Sloppy Foosball Free-For-All. Tiny men. Massive stakes. All chirps. No spins!,Sloplandia
2026-06-04 11:00,ROVING HUG DEALER. Healing Hugs that come with a prescription for a refill.,Everywhere I am is where the hugs will be. Look for the signs.
2026-06-04 11:00,"Bucket Golf or Bust. See a guy in tie dye caddy coveralls? Congratulations, you’ve found wandering bucket golf. Attempt athletic greatness with deeply inadequate equipment in the least prestigious tournament in modern history.",Traveling Fairway Division of Sloplandia
2026-06-04 12:00,"Lemonade stand happy hour!. Your neighbourhood lemonade bar & lounge, serving up fabulously moist libations (boozy + non).",Luscious Lemon camp
2026-06-04 12:00,"Gestate, Lounge and Rebirth. Immerse yourself in a uterine universe. Embibe amniotic pink drinks, strap on your umbilical cord, rejuvenate. Choose your rebirth style off our menu and be reborn via our glorious vagina slide! And so much more!",Living Womb Rebirthing Lounge @ Motherworld
2026-06-04 12:00,"The Low Bar Happy Hour. The one and only Low Bar pours open daily from 12–4. Spin the wheel, grab a drink, and enjoy the antics of our legendary bartenders.",The Low Bar
2026-06-04 13:00,"Penguinary Air. Fancy yourself an artist? Come and play a game of Penguinary Air while you cool off in our shady chill space. It’s like Pictionary, but with Penguins. No drawing skills required!",The Really Lost Penguins Chill Cave
2026-06-04 13:00,"Indugle Your Census. Thought- provoking questions, daily Oral Administration: form-filling excitement with paper & pencils. Results will be read aloud for the enjoyment of anyone who wishes to Indulge, and catalogued online with previous years’ questions & answers.",The Fafffway Village
2026-06-04 13:00,"The Fafffway Village. The Fafffway Village is a collection of camps providing service and entertainment to Otherworldians:Confession Concession, Indulge Your Census, Department Of Responsible Flailing (DORF), Pickle Fountain, Banana Ambassadors",The Fafffway Village
2026-06-04 13:11,"Inner Child Post Box Re-Birth through the birth canal. Inner Child Post Box Re-Birth through the birth canal: Arrive at Reframing and transform as you enter the secret door, travel back through the birth canal and re- birth yourself through the vulva and into the Inner Child Post Box then write your inner child a post card. (Open 9am-2am - come by anytime)",Reframing
2026-06-04 14:00,"Fix-it Station: Open for drop-ins. The place to go to help you express yourself & decommodify by fixin yer shit. We’ve got a bunch of tools (sewing, grommets, rivets, glues, tapes, + more!) and supplies to help you repair your OW finery (or just come hang out and make!)",Fix-it Station
2026-06-04 14:00,"Mahjong Lounge Open. Mahjong Lounge Open: Pull up a chair, shuffle the tiles, sip tea, and meet strangers who may become camp friends. Beginners welcome; lucky legends tolerated.",Mahjong Camp
2026-06-04 14:00,Samantha Fox Hour. Come and enjoy the music of the 1980s greatest pop star Samantha Fox. Samantha Fox trivia with prizes.,The Low Bar
2026-06-04 14:30,"Last Minute Fix-in Drop-in!. oin us for some accounta-buddying/body doubling and chill crafting/making time at Fix-it, while we finish our own set-up. Avail yourself of our tools and supplies and company. Make a dent in, or even finish, your project/ UFO!",Fix-it Station
2026-06-04 15:33,Treasure Box. Come Hither all ye children and inner children to the Inner Child Post Box to find the box of old treasures. There’s one for everyone but leave the rest for your mates. Yarrr. (Open 9am-2am - come by anytime),Reframing
2026-06-04 16:00,"Casino of Many Things. Bring your best bartering items to the Casino, test your mind, body and spirit against the house, winner takes all! No item? No problem, tasks can build credit at the Casino. Come on by and try your luck!",Picnic Party
2026-06-04 16:00,"Rope Workshop. Gabriel (7 years exp) leads a fun shibari rope workshop. Focusing on connection, safety and consent, learn how to use the humble single column tie for spicy bedroom play. Solo or partnered, everyone is welcome! Bring rope or borrow ours (19+)",Babylon
2026-06-04 16:00,Stamped Metal Tag. Come by and use our metal stamps to make yourself a small metal tag (similar to a dog tag). Materials provided for first 50 people; first come first serve. Child friendly with adult assistance.,Fix-it Station
2026-06-04 16:00,"Shocking Grasp. Looking to bring a spark to your bedroom? A casual introduction to electrical play. Safety, equipment, and the do’s and don’ts. 19+",Welcome to Arcadia
2026-06-04 16:00,"Sewing Help. Broke a strap, lost a button, ripped yer pants? Get help with mending, repairing, altering or fixing clothes/gear at the Moistly Helpful Help Desk from an experienced seamstress/crafter with an abundance of supplies.",Moistly Helpful Help Desk
2026-06-04 16:00,Hot slaps. Show up early. Get slapped. Do it hot.,Nauti Norse
2026-06-04 16:00,"Herbal Reflections. An interactive herbal installation for self-guided plant meditation. Herbal inctures with plant cards and QR codes invite visitors to choose, taste, and tune inward to learn from each plant through reflection, writing, or drawing, shared or kept.",The Empress
2026-06-04 16:00,Dreamwork Pop-Ins. (Ongoing Offering) Have you ever had a dream that really stuck with you? Bring it to the Occult Library and we’ll help you make meaning of it using Jung’s framework of dream interpretation.,The Occult Library
2026-06-04 16:30,Securititties Squad. Look for our squad to “secure your titties”. With consent of course.,Securititties Squad
2026-06-04 17:00,The Sound Habitat Grand Opening. We open the psychedelic nightclub! + D3VIANT Dance Party,Sound Habitat
2026-06-04 17:00,Meeting of the Jeff’s. Is your name Jeff?ery Geoff? Jefferson? Meet all your namesakes and become reborn as Jeff.,Temple of Jeff
2026-06-04 17:00,"Acroyoga Jam. Casual/chill acroyoga jam session. Not a formal class, but experienced people will be on hand to show some basics. Mats/blankets are helpful, but optional. No partner required.",The Really Lost Penguins Chill Cave
2026-06-04 17:55,"Inner Child Post Box. Inner Child Post Box: Saunter out of the Reframing Art Project filled with inspiration and carry forward to your inner child, a message from the future. We will mail your postcard to you in 9 months’ time (Open 9am- 2am - come by anytime)",Reframing
2026-06-04 18:00,"Come play mini golf. Immerse yourself in our iridescent glow in the dark forest where you play different size of mini golf holes (giant, medium, miniature), a wishing well, a plink- hole and a Confession-hole (a full size confessional where you can confess your sins get absolution)",Abrabrabra
2026-06-04 18:00,Flower Bower Boutique. Deflower us! ...by accessorizing yourself with fabulous clip-on flowers and other faux floral creations at our 24-hour self-service boutique. Dewiness not guaranteed. Floral fashion consultants available spore-adically.,Flower Bower
2026-06-04 18:00,"Project HissBark: Seeds of Doubt. Recruiting conspiracy game players who know narrative from counter-narrative. Drain the swamp, rehydrate the bog. Moisture isn’t real. Cryptopreneurs Radically Included <sad emoji>. Wanna play a game? Then, find Improvocateurs with checkered sashes.",Camp Otherbo’r’d
2026-06-04 18:00,"Soft Tacos: but make it Hard. The Avocado is friendly but Chipotle smells your fear. Is the Salsa twerking to Darude? The Cheese fell asleep in the sun again. Oh well, it’s a pre-party Picnic. Your mission is to make the taco of your dreams; if you can find it…",Picnic Party
2026-06-04 18:00,"NERD INK. hey nerdlinger! opening of the NERD INK temporary tattoo station- nothign compliments a pocket protector better than a hastily applied lower back tattoo. available all weekend, but come early for best choice of designs and help with application",NERRRRRDS
2026-06-04 18:00,"Pogs 4 Applause Lounge Opening Party. We’re flipping the sign to “Open” at 6:00 PM. Come help us kick off the weekend with 90s video games and movies on the big screen. It’s the perfect time to scope out the lounge, find the board games, and get your first rounds of the weekend in.",Pogs 4 Applause
2026-06-04 18:30,Ironic Spin’s Big Kick Off Extravanganza. You know you want to start it off right at the 25-foot Boombox. It IS Right. It Does.,Ironic Spin
2026-06-04 19:00,"Goddess Dancing. Step into Babylon—where sensual movement meets slow-burning desire. Ground into your body, awaken your hips and chest, and melt into hypnotic rhythms. Come to be seen, felt, and explored—no experience needed, only willingness (19+)",Babylon
2026-06-04 19:00,Badger AssASSins. ClASSic AssASSin game...Badger Style! All are welcome! Please arrive promptly at 7pm to get your targets and sign up as all entrants will need to be there at the start to register!,Badgers Hideout
2026-06-04 19:00,"Fusion Partner Dance, Meet & Jam. Come solo or with friends. Learn Fusion basics, meet new people, and discover how different dance styles connect on the floor.",The Playground
2026-06-04 19:00,"Burning Glam! Fashion Show!. The event of the season, come strut your stuff or spectate to celebrate the opening of Burning Glam!",Burning Glam!
2026-06-04 19:00,"Sapphic Tea Party. The second annual Sapphic mixer! Bring your crafts in progress and get ready to enjoy some iced tea, chill pud vibes, and flirty sapphic cuties!",The Den
2026-06-04 19:00,Recovery Meetings at Recovery House. 12 Step All Recovery Meeting,Recovery House
2026-06-04 19:00,"Zine Making. How does the rave sustain you? Collage a square of our collective zine ‘quilt’ exploring the myriad ways raving touches our lives! We will display the installation, then turn it into a zine and porta- potty decorations for future gatherings.",Ripple Effect
2026-06-04 19:00,"Salon Saloon’s Newbie Night. Step on up to Salon Saloon’s Opening Night! It’s newbie night! We promise no hair will be left behind during our Junior Stylist training. Get fresh, stay fresh.",Salon Saloon
2026-06-04 20:00,"Garden Story Time. Join us for tales of The Hungry Caterpillar, Bradley Magog and more! Puppets included.",Garden Cósmico
2026-06-04 20:00,Sunset Grooves. Follow the glowing 發 tile into sunset grooves,Mahjong Camp
2026-06-04 20:00,Phantasmagoria Pre-Opening. Oscillation Location!,Phantasmagoria
2026-06-04 20:00,Dungeons. A kinky play space for all your adventuring needs. DM on duty. Lots of equipment available. Openning time flexible on request.,Welcome to Arcadia
2026-06-04 20:00,"Roving Coat Check. Roving Coat Check, the most convenient, most mobile coatcheck to service Otherworld, circa 2023. You might lose use, but we won’t lose your coat!™",Roving Coat Check Inc.
2026-06-04 20:00,"Hippy Trap. A glowing little hippy trap of light, sound, and color. Come get caught, mellow out, and stay awhile. Open ~10pm until the power runs out.",Shaman Dome
2026-06-04 20:00,Drunk History Presents. The Legend of Poncho Villa: Join Joe for some margaritas and his drunk rendition of the world’s most interesting Mexican revolutionary. (Mar garitas available until they’re gone),The Empress
2026-06-04 20:30,Glow Dome - Paint With Light. Come here at night to paint with light!,Glow Dome
2026-06-04 21:00,Sapphic Night (19+). Join us in our Tantric Tavern for a SOP Sapphic- themed night. Space is only for people identifying as women.,Nauti Norse
2026-06-04 21:00,"The Celestial Ramen Bowl Plounge. Stop by and embody a human noodle in our UMAMI-themed plounge. Commune with the Celestial Ramen Bowl to reveal your ramen fortune. Sundown to sunup all weekend. No ramen, unless you’re lucky.",Camp UMAMI
2026-06-04 21:00,Opening Ceremony. An all-gender ceremony to thank the masculine and welcome in the feminine.,OTHER Red Tent
2026-06-04 21:00,Star Citizen Flight Experience with Chaos Gremlins. Star Citizen flight demonstrations (live in-game) with the Chaos Gremlins. Watch fast fighters move through space and planets across the ‘verse. ~8–9pm Thurs/Fri/Sat.,Shaman Dome
2026-06-04 21:00,"Really Lost Hot Chocolate. Help! We’re lost! But at least we aren’t cold and lost…because we have hot chocolate! If you can find us, we’ll share it with you! Follow your penguiny senses (or your nose) to our little travelling hot chocolate cart and we’ll warm you up too!",Really Lost Penguins Chill Cave
2026-06-04 21:30,"Cosmic Galaxy. Check out Cosmic after dark for a highly interactive, out of this world experience!",Cosmic Flow Camp
2026-06-04 22:00,Queer SciFi Book Club & Stargazing. Solarpunk Film Nightcap. Re-vision shared futures with the camp that’s coaxing society back from the brink. Bring your favourite book or recommendation to swap. Stick around past bedtime to share night sky stories. Movie after 11.,Campocalypse
2026-06-04 22:00,SOP Valhalla (19+). Join us in our Tantric Tavern to explore your nauti side! Consent monitors on shift.,Nauti Norse
2026-06-04 22:00,"Yoni Gazing. Together we explore the wonders of the yoni by embracing and embodying the playful curiosity of the maiden. *Please note: This event is open to everyone with a vulva, regardless of gender. This gathering is not open to people with a penis. 19+",OTHER Red Tent
2026-06-04 23:00,"Sacred Feminine Lounge. Space to connect with the sacred feminine- in-all-creation. *Please note: The lounge is open to all women (cis & trans), non-binary & gender fluid folks. Men (cis & trans) are welcome on Sunday.",OTHER Red Tent
2026-06-04 23:30,Taconoods FAFO Midnight Snack Attack. Submit to the universe and let our flavours takeover! Play stupid games to determine your snack fate!,Taconoods
2026-06-04 23:59,"Between 2 FERALS Late Night Talk Show. Will you get a hiss or a purr? Your public access fever dream for alley cats, art goblins, camp legends, and the terminally curious.",Ironic Spin
2026-06-05 00:00,Camp Squirrel. Camp Squirrel: Camp Squirrel: Assume the position at our hole and let us put our balls in your mouth! We may even call you a good girl. Random ball offerings Fri-Sun.,Camp Squirrel
2026-06-05 00:00,"Dim Sum Party with Drinks and DJs. Dim Sum Party with Drinks and DJs: Step into the Cathartic Cantina for our soul-feeding experience with small bites and big release of the soul. Served with spicy tunes, cool drinks and interactive art.",Cathartic Cantina
2026-06-05 00:00,Flying fairies. Intro to Ariel silks/ hoop. Everyone welcome!,Fantasia
2026-06-05 00:00,Warm Yr Bones. Bone broth in the Graveyard,Graveyard Camp
2026-06-05 00:00,Midnight Soup @ Ironic Spin. The Ironic Spinletts will be serving up some steaming hot soup to go along with some steaming hot trax.,Ironic Spin
2026-06-05 00:00,"SUBMISSIONS WANTED: PIG-TURE Exhibition!:. Tired of doom scrolling? Escape the algorithm & add to our PIG-TURE exhibition! Snap a pic during the festival of the theme MOIST, print it at our camp & pin it on the board. Come back to see who has liked or commented! What a dopamine rush!",Six Degrees of Bacon
2026-06-05 00:00,"Smile and Wubz. A seismic 100K‑watt love letter to Island Wubz, penned by an epic 4-DJ lineup and delivered on the biggest sound system on site. We drop you in below 28 Hz, you do your best bass face. A night of bass, community, and keeping the wubby spark alive.",The Cottage
2026-06-05 00:00,"Herbal Reflections. Herbal Reflections: An interactive herbal installation for self-guided plant meditation. Herbal inctures with plant cards and QR codes invite visitors to choose, taste, and tune inward to learn from each plant through reflection, writing, or drawing, shared or kept.",The Empress
2026-06-05 00:01,"Spectral Projection. Spectral Projection: An interactive television set where the viewer not only creates video art, but is the art.",Electric Circus
2026-06-05 00:10,"Bleeding gums check. Bleeding gums check: Is there a food that makes your mouth bleed but it’s just so delicious that you keep eating it? Are you maybe allergic to walnuts, Becky? Then come and do the check.",Stockpot Memorial Mobile Kitchen
2026-06-05 0:01,24hr community knitting and crochet circle. Supplies provided. Work on own project or join Knitters vs Crocheters in longest scarf comp!,Yarnia
2026-06-05 02:00,80’s Ski Lodge Time Machine. Hear the synth echo across timelines - in a space where neon reigns.,The Cottage
2026-06-05 02:22,"Reframing Art Project. The Reframing Art Project invites you to revisit your younger self, star gaze & offer healing word hugs to your inner little one (Open 9am-2am - come by anytime)",Reframing
2026-06-05 03:00,"Board Speed Dating. Study your board and learn what makes it like it is. Do you like them Alder? Do you Pine? What makes it Teak? Part game show, part bonding over slivers, part participatory participation.",Camp Otherbo’r’d
2026-06-05 03:33,No Stress Express. Our cardboard train will chug around Otherworld emitting the energy of no stress and passing out fruit to those who will receive.,???
2026-06-05 04:00,"Keep those peepers on your face, in fashion.. Keep those peepers on your face, in fashion.: Make sunglass chains in front of our giant pair of glasses! Clean your glasses, shake your asses!",Camp phat glASSes
2026-06-05 04:00,"Pregnant and new parent village connector. Circle & village connector for pregnant/new moms/parents to share and support each other through the arts and music weekend. A space to build community, exchange resources and stories, with an oracle card offering for grounding and reflection.",Healing Kiss
2026-06-05 05:00,"Glizzy Gala. Start pressing your jorts for solid food and SHOT DOGS to fill every void. Lose your dignity at the Casino of Many Things, peruse D*Arts. Admission free for raccoons in trench coats. Is that soup?",Picnic Party
2026-06-05 6:00,A Shoes on Plounge by Picnic Party. Find Mouth👄 Keep your shoes on👄 Enter Mouth💋,MOUTH
2026-06-05 07:17,Cirque de sluttè. Acrobatic burlesque,Fantasia
2026-06-05 8:00,Fancy Feather Boutique. Come shake a tail feather and leave with a brand new outfit. Open daily from sun up to sundown,Flamingo Camp
2026-06-05 09:00,"Scramble of Scandal. Climb the dicks, find the clit - if you can. Touch it just right and the whole thing lights up! Burner hours- if lights are on, come climb! (19+ or with supervision to climb the wall, please)",Camp Wet Landing
2026-06-05 09:00,Espresso Bar & Home-baked Cookies. Come celebrate your very merry unbirthday with a flat white and a cookie,Curiouser & Curiouser Café
2026-06-05 09:00,"Conversation Ball Pit. Pick a stranger, jump in the ball pit, pick up a ball & read the question, discover the answers to life, the universe and everything. And make a friend :)",Recovery House
2026-06-05 09:50,Radio Taiso. A brief instructor- led exercise routine that has been practiced in Japan for nearly 100 years. It literally lasts for three minutes so don’t be late! Disclaimer: you’ll barely be damp at the end.,Flower Bower
2026-06-05 10:00,"Pink Pony Café. Sip a little, sparkle a lot! An unapologetically pink coffee experience, just for you <3",Little Big
2026-06-05 10:00,"Nerdy and Naughty Stamps. Come and get some temporary ink! We have designs for all ages, so come get a Nerdy picture or Naughty saying.",Welcome to Arcadia
2026-06-05 10:00,"Mmm, Gruel.... We love the smell of oatmeal— err... GRUEL in the morning!",Camp Who Says Ni
2026-06-05 10:00,"Monarch of the Moment. Be crowned king/queen *ad tempus*, have your portrait drawn, and enact new laws in the kingdom! (Subject to beheading, dethroning, or uprising by other means)",Camp Who Says Ni
2026-06-05 10:00,Knighting Ceremony. Our most cherished and beloved vessel hath been lost! Become a Knight Who Says Ni and hunt for our most Holy Chalice!,Camp Who Says Ni
2026-06-05 10:00,"Queer Stitch ‘n Bitch. What is a queer camp without fibre arts? Bring your knitting, crochet, cross stitch, embroidery project and your coffee/ tea and wake up slowly with your fellow queers.",Dyke Chilling Park
2026-06-05 10:00,"The Free Bookstore is Open! with Kid’s Area. All genres of books to browse and take home, cozy nature crafting corner, shaded kids play area, self serve herbal tea, kids dressups and DIY facepainting.",Fairytale BookHub Café & Trash Fence Kid’s Play Area
2026-06-05 10:00,"Deep Fried D-Holes. Waking up is better with a hot D. Hole! Come by for fresh made deep fried donut holes coated with cinnamon & sugar. Please enjoy our shady Café, & kiddos Trash Fence play area.",Fairytale BookHub Café & Trash Fence Kid’s Play Area
2026-06-05 10:00,Perfumery & Aromatherapy. Mix together your own custom olfactory palette from our collection of essential oils and aromatics then make a roll-on bottle of your unique creation to take with you and slather on later!,Flower Bower
2026-06-05 10:00,"Skin Decoration Station. DIY Face/ Body Paint/ Tattoos. Kids! Come decorate yourself, your parent, your friend or sibling. Adults, come be a kid again!",Wild Things Camp
2026-06-05 10:00,Fluoropong table tennis lessons. Come learn to play table tennis,Fluoropong
2026-06-05 10:00,Naked Pancakes!. Served 10-12 or until we put clothes on,Flying Pancakes
2026-06-05 10:00,"Healing Sessions. 1-on-1 healing sessions, including massage, reiki, sound healing, breathwork, and other modalities.",Healing Kiss
2026-06-05 10:00,"Artsy Fartsy Time. Good morning, brother! Come art with us - we supply the paints, you paint the things. Hell yeah, brother? Hell yeah.",HELLYEAHBROTHER WORLD
2026-06-05 10:00,"Compost Camp. FEED WORMS MOISTLY: Find “COMPOST” buckets near the toilets. Take one to your camp and return it at camp’s end. If it’s full, swap for a fresh one or share with a neighbour. We collect buckets from toilets only.",Lalo & Team Compost Camp
2026-06-05 10:00,Placenta Pancakes Breakfast. Placenta Pancakes Breakfast: Come fuel up for the day with some delicious Placenta Pancakes in the Living Womb. Get rebirthed before noon and rock your day renewed!,Living Womb Rebirthing Lounge @ Motherworld
2026-06-05 10:00,"IT Help. IT Help: Are IT problems derailing your plans? Our on site nerds might be able to help with your phone, laptop, speaker or other IT type issues at the Moistly Helpful Help Desk.",Moistly Helpful Help Desk
2026-06-05 10:00,"Grounding Yoga. Join Emily for a grounding & uplifting morning yoga practice. Connect deeply to your inner waters and the loving embrace of mother earth. *Please note: This event is open to all women (cis & trans), non-binary & gender fluid folks.",OTHER Red Tent
2026-06-05 10:00,Find your flow yoga. Find your flow yoga: A 60-minute yoga practice to connect with yourself and move in community. All levels are welcome.,Recovery House
2026-06-05 10:00,Shamanic drum meditation workshop. Learn to travel to your own inner sacred space by yourself and take the map home with you. Open the circle and create an intention,The Playground
2026-06-05 10:00,Sensory Dispensary. Wanna lick a stone? See a tune? Touch the unexpected? Explore a living collection of sensations inside the Sensuary.,Sensuary Camp
2026-06-05 10:00,"The Daily Drop-In. Each day, devote some time to intentionally connect with your soma through movement, your breath, touch and sound. Return to the present moment, inhabit your body and senses and just be with whatever is alive for you.",Sound Habitat
2026-06-05 10:00,"Crafty Breakfast Club. Start the day with a hearty breakfast and a good cranking of your units. Tuck in dangly bits, strengthen bonds, and crank those nuts - we’ve got a wobbly road ahead! We’ll have pancakes, coffee, cranks, bits, and lace - bring your units! Oh, and Jam.",The Den
2026-06-05 10:00,"In the (soft,warm) Belly of the Beast. There is so much to explore at Otherworld, but sometimes you need a break - a moment of rest, to wait for something to call to you. Shelter in the (soft, warm) belly of the beast, swaddled, protected, and take a long breath.","In the (soft,warm) Belly of the Beast"
2026-06-05 10:00,"Cinder-Fellas and the Playa Princesses. We saw some Disney Princes and Princesses experiencing their first Otherworld! If you find them, stop to say hello, sing a song, dance, get your face painted, become a royal, play a game, or take a portrait! Help them learn about OW! ALL AGES!",Cinder-Fellas and the Playa Princesses
2026-06-05 10:30,"Yoga-lates with KHold. Shake your boobs and berries (Camp puns fully intended 🍓). Miss your workout? This yoga + Pilates fusion has you covered. Flow, sculpt, sweat, then melt into a Yin cooldown. Led by K-Hold, with optional hands-on assists.",Boobs & Berries
2026-06-05 10:30,Bloom & Bowl Ritual. Ease into the day with singing bowl vibrations and warm Moroccan tea,Garden Cósmico
2026-06-05 10:30,"Intro to Rope with Danger Mouse!. Come learn safety and foundational ties like a single column tie and basic chest harness, variants for diverse bodies. No previous experience needed. Some rope available, or bring your own. Bring a buddy, meet a buddy, or tie yourself in knots!",Welcome to Arcadia
2026-06-05 10:30,Rub-a-Dub-Dub A Song and a Scrub. Shower Line Up Karaoke and Entertainment,Rub-a-Dub-Dub A Song and a Scrub Crew
2026-06-05 11:00,"Philosopher’s Café. What is the nature of board?: Intellectuals, come discuss the ethics and epistemology of boardness, but please leave your metaphysics at home. Metaphysics was rightfully supplanted by science (natural science).",Camp Otherbo’r’d
2026-06-05 11:00,"Bucket Golf or Bust. See a guy in tie dye caddy coveralls? Congratulations, you’ve found wandering bucket golf. Attempt athletic greatness with deeply inadequate equipment in the least prestigious tournament in modern history.",Traveling Fairway Division of Sloplandia
2026-06-05 11:00,Giddyup Craftacular Tassel Town Salon. Visit our DIY tack shop and craft up a beaded/tassled bandana or shop the free boutique to rustle up some new duds!,Salon Saloon
2026-06-05 11:00,Get Nailed & Tatted. Nail painting glory hole & temporary tatoos,Cozy Corner
2026-06-05 11:00,"Silk Fans workshop. Discover the art of silk fan flow ✨This beginner- friendly workshop teaches graceful movements, smooth transitions, & simple choreography using silk fans. Some silk fans are provided (or bring your own). Come flow with us",Steeped in Art
2026-06-05 11:00,"Granny Squares 101. Learn to crochet the quintessential granny square, then add your creations to our collective quiltestry!",Yarnia
2026-06-05 11:00,"Festival Friending: Speed Connecting & Conscious Convos. Meet inspiring humans through fun, thought-provoking connection exercises and small-group discussions. We blend music, movement and meaningful conversation to help you make new friends and deepen bonds. Minimal cringe & maximum fun! Hosted by Konscious Kitties",Portal Lounge
2026-06-05 11:00,Bling Your Bean/Carhartt Stamping. Bling Your Bean/Carhartt Stamping: Bring your carabiner and come bling out your bean. Or swing by with an article of clothing for a dykey linocut stamp.,Dyke Chilling Park
2026-06-05 11:00,"Signs of the Revolution!. Signs of the Revolution!: Signs, signs, everywhere a sign! Join us in spreading joy, humour, and compassion by painting a SIGN for your camp and/or the Otherworld community at large. All materials provided. All ages welcome!",Electric Circus
2026-06-05 11:00,To flip or not to flip. Tumbling basics!,Fantasia
2026-06-05 11:00,"Grab them balls. Juggling, rings, balls and clubs! All welcome!",Fantasia
2026-06-05 11:00,Wet Felting at Garden of Eatin. Come learn how to turn wool into art using only the magic of friction and water!!,Garden of Eatin'
2026-06-05 11:00,Trial of Errors. Drop in for a quick game of Deathtrap D&D in an Otherworldian Dungeon,Level Up+
2026-06-05 11:00,"Kundalini Hoedown. Guided yoga & breath to enter into center, open to free flowing nectar of Love below & above. Give your day a key to open into the holy hallelujah within your sensuous heart (+ a lil line dancin’!) Let’s get that high from the inside. Yeehaw!",Mystic Redneck
